report_id;entity_type;entity_value;analytical_relevance;ioc_id;confidence;first_seen;last_seen;context
RPT9001;Domain;maintenance-check.example;High;IOC9005;Medium;2026/10/14;;Credential-harvesting domain targeting energy vendors
RPT9001;IPv4;203.0.113.77;High;IOC9001;High;2026/10/16;;Kalahari Jackal access infrastructure
RPT9001;Malware/Tool;PowerShell;Low;;Not matched;;;
RPT9001;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
RPT9002;Domain;desert-sync.example;High;IOC9002;High;2026/10/16;;Sandstorm Loader command-and-control
RPT9002;IPv4;198.51.100.44;High;IOC9003;High;2026/10/16;;Sandstorm Loader command-and-control
RPT9002;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
RPT9004;Malware/Tool;PowerShell;Low;;Not matched;;;
RPT9004;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
RPT9004;SHA-256;8e50b5f71c8efa22abe51646264f41367451d4acc42134c8c2b787c3190bc393;High;IOC9004;High;2026/10/16;;Sandstorm Loader executable
RPT9004;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
RPT9005;Domain;maintenance-check.example;High;IOC9005;Medium;2026/10/14;;Credential-harvesting domain targeting energy vendors
TRN03002;Domain;node-3002-sync.example;Medium;;Not matched;;;
TRN03002;IPv4;198.51.100.143;Medium;;Not matched;;;
TRN03002;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03003;Domain;node-3003-sync.example;Medium;;Not matched;;;
TRN03003;IPv4;198.51.100.144;Medium;;Not matched;;;
TRN03003;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03004;Domain;node-3004-sync.example;Medium;;Not matched;;;
TRN03004;IPv4;198.51.100.145;Medium;;Not matched;;;
TRN03004;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03005;Domain;node-3005-sync.example;Medium;;Not matched;;;
TRN03005;IPv4;198.51.100.146;Medium;;Not matched;;;
TRN03005;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03007;Domain;node-3007-sync.example;Medium;;Not matched;;;
TRN03007;IPv4;198.51.100.148;Medium;;Not matched;;;
TRN03007;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03008;Domain;node-3008-sync.example;Medium;;Not matched;;;
TRN03008;IPv4;198.51.100.149;Medium;;Not matched;;;
TRN03010;Domain;node-3010-sync.example;Medium;;Not matched;;;
TRN03010;IPv4;198.51.100.151;Medium;;Not matched;;;
TRN03013;Domain;node-3013-sync.example;Medium;;Not matched;;;
TRN03013;IPv4;198.51.100.154;Medium;;Not matched;;;
TRN03017;Domain;node-3017-sync.example;Medium;;Not matched;;;
TRN03017;IPv4;198.51.100.158;Medium;;Not matched;;;
TRN03017;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03036;Domain;node-3036-sync.example;Medium;;Not matched;;;
TRN03036;IPv4;198.51.100.177;Medium;;Not matched;;;
TRN03036;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03037;Domain;node-3037-sync.example;Medium;;Not matched;;;
TRN03037;IPv4;198.51.100.178;Medium;;Not matched;;;
TRN03040;Domain;node-3040-sync.example;Medium;;Not matched;;;
TRN03040;IPv4;198.51.100.181;Medium;;Not matched;;;
TRN03040;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03045;Domain;node-3045-sync.example;Medium;;Not matched;;;
TRN03045;IPv4;198.51.100.186;Medium;;Not matched;;;
TRN03049;Domain;node-3049-sync.example;Medium;;Not matched;;;
TRN03049;IPv4;198.51.100.190;Medium;;Not matched;;;
TRN03050;Domain;node-3050-sync.example;Medium;;Not matched;;;
TRN03050;IPv4;198.51.100.191;Medium;;Not matched;;;
TRN03050;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03053;Domain;node-3053-sync.example;Medium;;Not matched;;;
TRN03053;IPv4;198.51.100.194;Medium;;Not matched;;;
TRN03056;Domain;node-3056-sync.example;Medium;;Not matched;;;
TRN03056;IPv4;198.51.100.197;Medium;;Not matched;;;
TRN03056;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03059;Domain;node-3059-sync.example;Medium;;Not matched;;;
TRN03059;IPv4;198.51.100.200;Medium;;Not matched;;;
TRN03059;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03061;Domain;node-3061-sync.example;Medium;;Not matched;;;
TRN03061;IPv4;198.51.100.202;Medium;;Not matched;;;
TRN03061;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
TRN03066;Domain;node-3066-sync.example;Medium;;Not matched;;;
TRN03066;IPv4;198.51.100.207;Medium;;Not matched;;;
TRN03066;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
TRN03068;Domain;node-3068-sync.example;Medium;;Not matched;;;
TRN03068;IPv4;198.51.100.209;Medium;;Not matched;;;
TRN03068;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03077;Domain;node-3077-sync.example;Medium;;Not matched;;;
TRN03077;IPv4;198.51.100.218;Medium;;Not matched;;;
TRN03077;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03077;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
TRN03078;Domain;node-3078-sync.example;Medium;;Not matched;;;
TRN03078;IPv4;198.51.100.219;Medium;;Not matched;;;
TRN03078;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03084;Domain;node-3084-sync.example;Medium;;Not matched;;;
TRN03084;IPv4;198.51.100.5;Medium;;Not matched;;;
TRN03086;Domain;node-3086-sync.example;Medium;;Not matched;;;
TRN03086;IPv4;198.51.100.7;Medium;;Not matched;;;
TRN03086;Malware/Tool;PowerShell;Low;;Not matched;;;
